,x,y,i
86,70,13,22
87,71,13,22
88,76,13,22
89,72,14,22
90,73,14,22
91,76,14,22
92,74,15,22
93,75,15,22
94,76,15,22
95,76,16,22
